year,gdp,labour,cap
2004,114043,8310,182113
2005,120410,8529,193749
2006,129187,8738,205192
2007,134705,8952,215130
2008,139960,9171,225021
2009,150511,9569,237026
2010,157897,9527,248897
2011,165286,9662,260661
2012,178491,10334,275466
2013,199457,10981,295378
2014,212323,11746,315715
2015,226977,11521,337642
2016,241194,11540,363599
2017,260881,12066,391847
2018,277498,12297,422382
2019,296530,12955,455049
2020,306712,13338,484677
2021,329030,13738,520533
2022,354057,15924,565131
2023,374977,14154,609825
